"target_year","h","hist_fcst","hist_lower","hist_upper"
1981,4.5,2.14429031396655,0.506529885362493,3.73263199091389
1982,16.5,2.66375793800851,0.263108966676671,4.73411912990464
1981,1.5,1.095456612558,0.12333153819806,2.16635373132876
1982,13.5,0.518982179117896,-1.23394678632954,2.33841608774092
1982,10.5,-0.398353683441645,-2.09015685186592,2.21894972785579
1983,22.5,3.16928562874572,0.699359532642303,5.67139441888635
1982,7.5,-1.34496883749293,-2.11308916476671,0.620824617211183
1983,19.5,2.73307727529796,-0.340342805924411,5.13735279303373
1982,4.5,-1.01831080259309,-2.17051413949771,0.955663291819717
1983,16.5,2.71651535946272,0.511746128240569,4.58209520368598
1982,1.5,-1.36075154754537,-2.01006363797888,0.158653226827455
1983,13.5,2.25475522068424,-0.110059882876065,4.07045494972962
1983,10.5,2.45463175390425,0.102608760187675,4.57962509844423
1984,22.5,4.09007228098247,1.16751852720616,5.83506521979654
1983,7.5,2.95913463633184,1.58152867003961,4.18369170255101
1984,19.5,4.37926089312535,2.15727615245105,5.91523052777634
1983,4.5,3.22741677367483,2.17840635183095,4.14275306653176
1984,16.5,4.59761309789511,1.79360102442551,5.92175860825776
1983,1.5,3.23587649296295,1.57051975382946,4.61490071864184
1984,13.5,5.07848575122319,2.64817854152982,6.01053145443896
1984,10.5,5.0340367848178,2.57363531917172,6.17926189935786
1985,22.5,3.18288382325934,0.429577378169641,5.23101645679914
1984,7.5,5.48257290476007,3.33065399736108,6.29626966610303
1985,19.5,2.96726775178299,0.320046123115103,5.49929019802774
1984,4.5,7.61030724188911,5.0806991108105,8.98515379728488
1985,16.5,3.55138351274327,1.51561697499592,5.60890241688555
1984,1.5,7.83076087192008,5.57864773725475,8.97059569685343
1985,13.5,3.29375107423508,1.50666864384109,5.38788633950264
1985,10.5,9.99861790891472,5.47271247460688,12.4943140756765
1986,22.5,3.76459188983277,1.49634654327695,5.63429170844282
1985,7.5,2.8235172313656,0.556672322618372,4.73419394853297
1986,19.5,2.63723877600137,0.592414768935748,4.39191331000503
1985,4.5,2.71432365503607,1.39559075663026,3.81923194612434
1986,16.5,2.46600220504673,0.279018306077777,4.45354186516887
1985,1.5,2.85185690577335,1.82767587627608,3.80398318056763
1986,13.5,2.75052224890434,0.881521171911802,4.26085446000456
1986,10.5,2.70308895453819,1.42749056933985,3.83672826081695
1987,22.5,2.9253951541886,0.767750520289293,4.52447709040976
1986,7.5,2.69831252179845,1.34565261271437,3.83486812797504
1987,19.5,2.79459412927948,0.201435236571477,4.50988563036144
1986,4.5,2.56828263528059,1.3798457064575,3.68785122152319
1987,16.5,2.37459175972779,-0.11319860893119,4.32443680237985
1986,1.5,2.7405182184879,1.86142822802814,3.55657457751542
1987,13.5,2.57321521480823,0.357893473845662,4.53439282095661
1987,10.5,2.36868679849864,0.429821959000594,3.92495176326653
1988,22.5,2.24999924672,0.0774878403118061,4.28514579669445
1987,7.5,2.74524550336496,1.33936304777391,3.94196009503924
1988,19.5,2.26911036602039,0.354555502145584,4.00894286392947
1987,4.5,2.85819346958778,1.91810148342715,3.79808722581079
1988,16.5,2.70280014910985,0.432980270528754,4.66258126684854
1987,1.5,2.88200907705975,2.0780829863777,3.64448723275339
1988,13.5,1.84818421137983,-0.211941447253736,3.96241850860835
1988,10.5,2.11741644735548,0.245091528301328,3.8702953531724
1989,22.5,2.29492427724416,0.361243518658476,4.00378656742313
1988,7.5,2.88715478573445,1.64630015614547,4.05485537608406
1989,19.5,2.28613628390288,-0.190140619402935,4.12729030357332
1988,4.5,3.54019495996548,1.9926619640992,4.90489385648665
1989,16.5,2.48139012804772,0.278740668370872,4.47571430748823
1988,1.5,3.19059740411876,1.96357759849271,4.51620068036176
1989,13.5,2.77078798359006,1.16801984292758,4.13256657017209
1989,10.5,2.49978774453928,0.86058268177688,3.93967304345605
1990,22.5,1.82064345062241,-0.354546265530395,3.7996163751355
1989,7.5,2.70886606038217,1.44690002280647,3.87382425268051
1990,19.5,1.57451088093059,-0.691333479473963,4.05603043766355
1989,4.5,2.7707838705709,1.66688225383495,3.73483111479335
1990,16.5,1.90054134146019,-0.355702484884635,4.19276821338229
1989,1.5,2.9471781171642,2.14714580197687,3.70404269795819
1990,13.5,1.6386580742299,-0.159041229186298,3.43287143125777
1990,10.5,1.37330728046238,-0.157654915898827,3.05836651253946
1991,22.5,2.03117000177261,0.128765178082357,3.85999611308135
1990,7.5,1.6625361619985,0.256059152199863,2.87081982013638
1991,19.5,1.45340881340026,-1.07580068029045,3.37045816684078
1990,4.5,0.957671933719163,-0.0373412117681437,2.04808419742703
1991,16.5,1.07929536996977,-0.797908984682471,2.74352472017666
1990,1.5,1.00634488440225,-0.0110765734792776,1.98245373695584
1991,13.5,0.0686413335528552,-1.82908533484848,1.98908882509959
1991,10.5,-0.34279255090904,-1.94684710357311,1.78681182647795
1992,22.5,1.80913915976521,-0.549684282202889,4.24699370223252
1991,7.5,-0.540435921840929,-1.82829700188793,1.55606607409867
1992,19.5,2.3452278945775,0.549516671016436,3.93411371771448
1991,4.5,-0.386370850301333,-1.68105346461563,1.34831824665617
1992,16.5,2.4986245897029,0.288772134334921,4.49208953752862
1991,1.5,-1.00693793148757,-2.10196399238691,0.590523829074627
1992,13.5,2.13056199483847,0.0506912986459949,3.8826533528384
1992,10.5,1.70352828333521,0.446590004743517,2.89460530197376
1993,22.5,2.57223338519499,0.795377221666867,4.1920330384527
1992,7.5,2.1964341289391,0.996324826525186,3.38473416880493
1993,19.5,2.83407561843106,1.31073132690328,4.27414947053783
