"target_year","h","forecast","rlz","score0","score1","score2","score3","score4","pred0_lower","pred0_upper","pred1_lower","pred1_upper","pred2_lower","pred2_upper","pred3_lower","pred3_upper","pred4_lower","pred4_upper"
2002,26,2.8,0.2,0.568076094937057,0.889406292555306,0.515886754073438,0.64000000000007,0.799999999998448,-0.0403804746852843,5.64038047468528,0.686194078316086,4.71831622070829,0.127663481101656,5.28653102183604,-2.10000000000067,4.30000000000003,-3.60000000000369,4.39999999998079
2002,21,2.6,0.2,0.519148502287502,0.689406292555306,0.515886754073438,0.64000000000007,0.799999999998448,0.0042574885624882,5.19574251143751,0.486194078316086,4.51831622070829,-0.0723365188983434,5.08653102183604,-2.30000000000067,4.10000000000003,-3.80000000000369,4.19999999998079
2002,13.5,0.7,0.2,0.384254652393799,0.40321221423922,0.353689884840263,0.64000000000007,0.54604166663347,-1.22127326196899,2.62127326196899,-1.41380592168391,2.61831622070829,-1.16135217273247,2.37554667567016,-4.20000000000067,2.20000000000003,-3.56666666666858,1.89374999966612
2002,8.5,0.8,0.2,0.216339525791337,0.287791896469445,0.228923062353205,0.454347826087001,0.350689102506564,-0.281697628956683,1.88169762895668,-0.736704332835038,2.14121463185942,-0.437518060297176,1.85171256323487,-2.6086956521744,1.93478260869561,-1.82564102564157,1.68124999942407
2002,2,0.4,0.2,0.065549895350492,0.0734398777541485,0.0667261931200293,0.1095652173913,0.0967307691415865,0.231937369188115,0.568062630811885,-0.0649442392585537,0.669454538282932,-0.0265337141312995,0.640728217068994,-0.239130434782743,0.856521739130253,-0.0923076923064576,0.874999999109407
2002,4.5,0.7,0.2,0.124548741982068,0.155882961875417,0.129109604363558,0.242173913043492,0.194407051205039,0.230685927477584,1.16931407252242,-0.177159659864894,1.38166995888927,-0.0384507703489445,1.25264527328664,-1.00434782608723,1.4173913043477,-0.612820512819963,1.33124999923043
2002,0,0.2,0.2,0,0.0678032086592747,0.0256248920303285,0.216521739130388,0.18269230759517,0.2,0.2,0.0648280972265184,0.139682201797859,0.0229999308428165,0.191194572094878,0.413043478260843,0.447826086956297,0.364102564104346,0.549999999012587
2003,25.5,2.8,-0.1,0.702813843403303,1.22124540018554,0.788601905864372,0.640000000010672,0.800000000000726,0.0535173042541288,5.54648269574587,0.724425820264815,4.69262161947205,0.182450268992789,5.24396663770862,-2.10000000000011,4.30000000010661,-3.60000000000678,4.40000000000048
2003,20.5,2.7,-0.1,0.788668590228376,1.12124540018554,0.688601905864372,0.640000000010672,0.800000000000726,0.18583573778547,5.21416426221453,0.624425820264815,4.59262161947205,0.0824502689927895,5.14396663770862,-2.20000000000011,4.20000000010661,-3.70000000000678,4.30000000000048
2003,14,1.4,-0.1,0.393754335506099,0.396819579920723,0.360042611560862,0.640000000010672,0.56557692307873,-0.568771677530496,3.3687716775305,-0.675574179735185,3.29262161947205,-0.487004604453609,3.11342151115502,-3.50000000000011,2.90000000010661,-3.03076923077355,2.62500000001375
2003,9,0.4,-0.1,0.232483221760003,0.300299984754039,0.238285090468595,0.480869565177139,0.370224358977067,-0.762416108800014,1.56241610880001,-1.19297620390176,1.81002364363862,-0.878216998992273,1.50463390569368,-3.22173913043481,1.58695652133658,-2.38974358974586,1.31250000002482
2003,2.5,0,-0.1,0.0448708169854737,0.0911741952262212,0.0800003130486482,0.136086956371151,0.116266025644906,-0.224354084927368,0.224354084927368,-0.547347256262674,0.364394695999538,-0.486793111892537,0.313210018593944,-0.852173913043341,0.508695650668168,-0.656410256409856,0.5062500000392
2003,16.5,2.3,-0.1,0.619240252364667,0.721245400185538,0.62952296492272,0.640000000010672,0.663253205129562,0.0740503154558332,4.52594968454417,0.224425820264815,4.19262161947205,0.108601592815724,4.31781531388568,-2.60000000000011,3.80000000010661,-2.9512820512874,3.68125000000822
2003,12,1.1,-0.1,0.337651822147835,0.396819579920723,0.311339603123956,0.640000000010672,0.487435897438065,-0.588259110739175,2.78825911073918,-0.975574179735185,2.99262161947205,-0.543489562269075,2.56990646897048,-3.80000000000011,2.60000000010661,-2.67435897436247,2.20000000001818
2003,5.5,0,-0.1,0.122231167162608,0.187693790392906,0.153054825704008,0.295217391204684,0.233477564105903,-0.61115583581304,0.61115583581304,-1.0299452320961,0.846992671832963,-0.852065675169338,0.678482581870746,-2.13043478260864,0.821739129438202,-1.64102564102647,0.693750000032562
2003,0,0,-0.1,0.1,0.0107411992539838,0.0191215525025146,0.316521738937612,0.282692307698065,0,0,-0.145182276401487,-0.0377702838616487,-0.18239930916187,0.0088162158632768,0.213043478261072,0.247826085026473,0.164102564103991,0.350000000044732
2004,26,2.3,1.6,0.603410816711556,0.419149440597232,0.536141302506914,0.640000000172825,0.800000000000004,-0.717054083557779,5.31705408355778,0.0989418681326022,4.29043627410492,-0.480307097104529,4.88110592796461,-2.59999999999946,3.80000000172878,-4.09999999999958,3.90000000000046
2004,21,2,1.6,0.545887227338926,0.419149440597232,0.536141302506914,0.640000000172825,0.800000000000005,-0.729436136694629,4.72943613669463,-0.201058131867398,3.99043627410492,-0.780307097104529,4.58110592796461,-2.89999999999946,3.50000000172878,-4.39999999999958,3.60000000000046
2004,14.5,1.6,1.6,0.424192585883894,0.419149440597232,0.393576248177801,0.640000000172825,0.585112179478796,-0.52096292941947,3.72096292941947,-0.601058131867398,3.59043627410492,-0.467481825458964,3.46828065631905,-3.29999999999946,3.10000000172878,-2.99487179482834,2.85624999995962
