"vintage","target_year","h","forecast","rlz","e"
1981 Q3,1981,4.5,2.11558917385652,1.99739983453493,-0.118189339321593
1981 Q3,1982,16.5,2.71164021164021,-1.71533150320273,-4.42697171484295
1981 Q4,1981,1.5,1.84544211255002,1.99739983453493,0.151957721984906
1981 Q4,1982,13.5,0.431034482758621,-1.71533150320273,-2.14636598596136
1982 Q1,1982,10.5,-0.268291875062102,-1.71533150320273,-1.44703962814063
1982 Q1,1983,22.5,3.4207904350714,3.35942102162754,-0.0613694134438636
1982 Q2,1982,7.5,-1.07598079788115,-1.71533150320273,-0.639350705321589
1982 Q2,1983,19.5,2.94511378848728,3.35942102162754,0.414307233140259
1982 Q3,1982,4.5,-1.50569836120123,-1.71533150320273,-0.209633142001503
1982 Q3,1983,16.5,3.04054054054054,3.35942102162754,0.318880481087001
1982 Q4,1982,1.5,-1.63879876882123,-1.71533150320273,-0.076532734381505
1982 Q4,1983,13.5,2.43572395128552,3.35942102162754,0.92369707034202
1983 Q1,1983,10.5,1.86550094037514,3.35942102162754,1.4939200812524
1983 Q1,1984,22.5,4.22488356620093,6.81903334582241,2.59414977962148
1983 Q2,1983,7.5,2.58320073128619,3.35942102162754,0.776220290341352
1983 Q2,1984,19.5,4.68646864686469,6.81903334582241,2.13256469895772
1983 Q3,1983,4.5,3.07161491205924,3.35942102162754,0.287806109568297
1983 Q3,1984,16.5,4.76812540822992,6.81903334582241,2.0509079375925
1983 Q4,1983,1.5,3.40823024488765,3.35942102162754,-0.0488092232601134
1983 Q4,1984,13.5,5.20833333333333,6.81903334582241,1.61070001248908
1984 Q1,1984,10.5,5.16199442915085,6.81903334582241,1.65703891667157
1984 Q1,1985,22.5,3.25278810408922,2.23439289805269,-1.01839520603652
1984 Q2,1984,7.5,5.90936477178355,6.81903334582241,0.909668574038862
1984 Q2,1985,19.5,3.13653136531365,2.23439289805269,-0.902138467260959
1984 Q3,1984,4.5,7.31913923143337,6.81903334582241,-0.500105885610957
1984 Q3,1985,16.5,3.58227079538555,2.23439289805269,-1.34787789733285
1984 Q4,1984,1.5,6.86301659960578,6.81903334582241,-0.0439832537833702
1984 Q4,1985,13.5,3.35365853658537,2.23439289805269,-1.11926563853267
1985 Q2,1985,7.5,3.09121132173303,2.23439289805269,-0.856818423680333
1985 Q2,1986,19.5,2.9585798816568,2.50406186587822,-0.45451801577858
1985 Q3,1985,4.5,2.51170451252802,2.23439289805269,-0.277311614475325
1985 Q3,1986,16.5,2.73728057125855,2.50406186587822,-0.23321870538033
1985 Q4,1985,1.5,2.42020343739039,2.23439289805269,-0.185810539337692
1985 Q4,1986,13.5,2.91840381179273,2.50406186587822,-0.414341945914509
1986 Q2,1986,7.5,2.60432349913516,2.50406186587822,-0.100261633256933
1986 Q2,1987,19.5,3.42615342615343,2.90311721537737,-0.523036210776056
1986 Q3,1986,4.5,2.672812345283,2.50406186587822,-0.168750479404776
1986 Q3,1987,16.5,2.68948655256724,2.90311721537737,0.213630662810132
1986 Q4,1986,1.5,2.58913442161121,2.50406186587822,-0.0850725557329888
1986 Q4,1987,13.5,2.52854812398042,2.90311721537737,0.374569091396946
1987 Q1,1987,10.5,2.44728378020005,2.90311721537737,0.455833435177319
1987 Q1,1988,22.5,2.69480950484535,3.87379776449181,1.17898825964647
1987 Q2,1987,7.5,2.65445788378074,2.90311721537737,0.248659331596633
1987 Q2,1988,19.5,2.66401590457256,3.87379776449181,1.20978185991925
1987 Q3,1987,4.5,2.57860364909446,2.90311721537737,0.324513566282911
1987 Q3,1988,16.5,2.78288264636388,3.87379776449181,1.09091511812794
1987 Q4,1987,1.5,2.68632599474854,2.90311721537737,0.216791220628834
1987 Q4,1988,13.5,2.2029897718332,3.87379776449181,1.67080799265861
1988 Q1,1988,10.5,2.10426416205779,3.87379776449181,1.76953360243402
1988 Q1,1989,22.5,2.42307692307692,2.97373521518735,0.550658292110427
1988 Q2,1988,7.5,3.34855602517632,3.87379776449181,0.525241739315493
1988 Q2,1989,19.5,2.31704228918714,2.97373521518735,0.656692926000214
1988 Q3,1988,4.5,3.97712503249285,3.87379776449181,-0.103327268001038
1988 Q3,1989,16.5,2.65,2.97373521518735,0.32373521518735
1988 Q4,1988,1.5,3.87314790746036,3.87379776449181,0.000649857031455259
1988 Q4,1989,13.5,2.85285285285285,2.97373521518735,0.120882362334497
1989 Q1,1989,10.5,2.67899048179275,2.97373521518735,0.294744733394596
1989 Q1,1990,22.5,1.511457825451,0.961094785924177,-0.550363039526823
1989 Q2,1989,7.5,2.87723425153746,2.97373521518735,0.0965009636498873
1989 Q2,1990,19.5,1.77572366820725,0.961094785924177,-0.814628882283072
1989 Q3,1989,4.5,2.67369048802306,2.97373521518735,0.300044727164293
1989 Q3,1990,16.5,1.83930300096805,0.961094785924177,-0.878208215043878
1989 Q4,1989,1.5,2.92217473412185,2.97373521518735,0.0515604810654957
1989 Q4,1990,13.5,1.85900531144375,0.961094785924177,-0.89791052551957
1990 Q2,1990,7.5,2.02518052882731,0.961094785924177,-1.06408574290313
1990 Q2,1991,19.5,2.55439924314096,-0.737480488241759,-3.29187973138272
1990 Q3,1990,4.5,1.27012652694466,0.961094785924177,-0.309031741020481
1990 Q3,1991,16.5,1.24460431654675,-0.737480488241759,-1.98208480478851
1990 Q4,1990,1.5,1.02727250649635,0.961094785924177,-0.0661777205721729
1990 Q4,1991,13.5,0.144230769230769,-0.737480488241759,-0.881711257472529
1991 Q1,1991,10.5,-0.286946635144673,-0.737480488241759,-0.450533853097087
