"target_year","h","forecast","rlz","score0","score1","score2","score3","score4","pred0_lower","pred0_upper","pred1_lower","pred1_upper","pred2_lower","pred2_upper","pred3_lower","pred3_upper","pred4_lower","pred4_upper"
1981,4.5,2.11558917385652,1.99739983453493,0.0900643265961442,0.109694851501812,0.0981979619604097,0.115485147753283,0.104213796092926,1.6652675408758,2.56591080683724,1.57503903814361,2.67198755316173,1.63379758244538,2.61577720204947,1.57732173190175,2.73217320943458,1.61040202451693,2.65253998544618
1981,1.5,1.84544211255002,1.99739983453493,0.0506286667351365,0.0313220237084863,0.0361397487605,0.0273240316644809,0.0357686956253719,1.71878079348781,1.97210343161223,1.69675611580374,2.0099763528886,1.67394158713843,2.03533907474342,1.76890937829005,2.04214969493486,1.69099406329152,2.04868101954524
1982,16.5,2.71164021164021,-1.71533150320273,3.14243902404133,3.25378930075429,3.11555904415702,3.34238375099372,3.02949455235194,1.10597434813818,4.31730607514224,1.23974111662271,4.22690792591116,1.06651264712908,4.40366158538106,1.32089714280459,4.3824481926684,0.960687694143882,4.49544124419708
1982,13.5,0.431034482758621,-1.71533150320273,0.975157987585027,0.973183571872702,1.07306361211786,1.06177802211212,0.966304138175062,-1.0329755152118,1.89504448072904,-1.04086461225888,1.94630219702957,-0.916455210699466,1.82541798544643,-0.959708586076995,2.10184246378681,-1.04816067448054,1.94317242004805
1982,10.5,-0.268291875062102,-1.71533150320273,0.516845343549123,0.426782363404103,0.611847551139564,0.501570480716686,0.527876157999983,-1.43103473080149,0.894450980677281,-1.54903453338944,1.05581940251868,-1.31814369746715,0.828453756572663,-1.48106006217879,1.19193033474862,-1.42137819999265,0.917850347906405
1982,7.5,-1.07598079788115,-1.71533150320273,0.159631346748835,0.184022818914746,0.155132171193373,0.189586909105458,0.168712400126953,-1.87413753162533,-0.277824064136973,-1.97441058282816,-0.134182393680697,-1.82819474923316,-0.276873037299426,-1.93279922155997,-0.0369301305053855,-1.9029582905031,-0.21583428923357
1982,4.5,-1.50569836120123,-1.71533150320273,0.0877937577943492,0.107560244238681,0.095604596982765,0.111874778518177,0.103501945464,-1.94466715017298,-1.06672957222948,-2.02181527276791,-0.946212830381105,-1.9602744415002,-1.00422847167255,-2.00656702144219,-0.887819236260419,-2.00656702151457,-0.971547566874577
1982,1.5,-1.63879876882123,-1.71533150320273,0.0246785769018626,0.031097669562615,0.0360770227721569,0.0341626479308951,0.0382914908010465,-1.76219165333054,-1.51540588431192,-1.77260280700758,-1.46162611138143,-1.79573697806716,-1.43496675034559,-1.78371766562432,-1.44209118631537,-1.81355859682597,-1.4306436888155
1983,22.5,3.4207904350714,3.35942102162754,0.35938814534374,0.307241685347549,0.348705161357963,0.337234508933032,0.357565505106448,1.6238497083527,5.2177311617901,1.8859436789936,4.9583605324691,1.67928693209855,5.16633854567819,1.71472051430785,5.08706560363817,1.60569651262784,5.18135156369232
1983,19.5,2.94511378848728,3.35942102162754,0.350225083969605,0.307241685347549,0.348705161357963,0.337234508933032,0.357565505106448,1.19398836863925,4.69623920833531,1.41026703240948,4.48268388588498,1.20361028551443,4.69066189909407,1.23904386772373,4.61138895705405,1.13001986604372,4.7056749171082
