"id","target_year","h","ok1","ok2","hist_fcst","hist_lower","hist_upper"
4,1981,19.5,TRUE,TRUE,1.07448475607625,0.187095687563479,1.9499437275934
4,1982,71.5,TRUE,TRUE,3.07653594631222,2.18811613847987,3.95003096326232
5,1981,19.5,TRUE,TRUE,2.48752887203504,1.67910207933685,3.29595566473322
5,1982,71.5,TRUE,TRUE,3.23799975342156,2.52601748604952,3.9499820207936
12,1981,19.5,TRUE,TRUE,2.78555636514772,1.50958811927159,3.95211684888731
12,1982,71.5,TRUE,TRUE,1.43177137242558,-2.12680711579271,4.70273945807976
13,1981,19.5,TRUE,TRUE,0.919359533226791,-2.55066083399187,4.66056923544718
13,1982,71.5,FALSE,FALSE,NA,NA,NA
16,1981,19.5,FALSE,FALSE,NA,NA,NA
16,1982,71.5,FALSE,FALSE,NA,NA,NA
18,1981,19.5,TRUE,TRUE,-1.38535848019402,-2.29959065898217,0.489836344676102
18,1982,71.5,TRUE,TRUE,0.261779246962284,-1.42874858433753,1.65890843606637
19,1981,19.5,TRUE,TRUE,2.23133910120885,0.720697247778596,3.69203352758753
19,1982,71.5,TRUE,TRUE,2.16944200376777,-0.450532884724445,4.52557854064316
21,1981,19.5,FALSE,FALSE,NA,NA,NA
21,1982,71.5,FALSE,FALSE,NA,NA,NA
23,1981,19.5,FALSE,FALSE,NA,NA,NA
23,1982,71.5,FALSE,FALSE,NA,NA,NA
25,1981,19.5,TRUE,TRUE,1.75901962443865,0.759027279326148,2.75901196955115
25,1982,71.5,TRUE,TRUE,1.94994782104754,0.723353168169523,3.52600540056917
30,1981,19.5,TRUE,TRUE,2.94996666673733,1.7322700277724,4.16769508385794
30,1982,71.5,TRUE,TRUE,3.13819784155501,2.13318722472144,5.74825100601729
31,1981,19.5,TRUE,TRUE,2.23081231555526,1.28047739324069,3.18114723786982
31,1982,71.5,TRUE,TRUE,2.20151088048738,0.508511076860769,3.83853105069783
33,1981,19.5,TRUE,TRUE,2.95001963662803,0.824811987694737,5.07521112110454
33,1982,71.5,TRUE,TRUE,2.95001963662803,0.824811987694737,5.07521112110454
34,1981,19.5,TRUE,TRUE,2.04762757925147,0.996031547565528,3.09922361093741
34,1982,71.5,TRUE,TRUE,2.94998753807822,1.4841036578776,4.41588114785657
35,1981,19.5,TRUE,TRUE,2.52367165921856,1.22476902170806,3.94992553585681
35,1982,71.5,TRUE,TRUE,3.37632834098461,1.95007446607037,4.67523097824423
40,1981,19.5,TRUE,TRUE,2.48752887203504,1.67910207933685,3.29595566473322
40,1982,71.5,TRUE,TRUE,4.14098041364526,3.14098808958483,5.14097273770568
43,1981,19.5,TRUE,TRUE,2.31788517318115,1.41568250433509,3.22008784202722
43,1982,71.5,TRUE,TRUE,2.71881980850143,1.77992876885049,3.6900686463322
54,1981,19.5,TRUE,TRUE,2.91733473635083,0.299095382870624,5.77621104389704
54,1982,71.5,TRUE,TRUE,2.60498670703319,-0.182967685999385,5.26917039828116
58,1981,19.5,TRUE,TRUE,2.52367165921856,1.22476902170806,3.94992553585681
58,1982,71.5,TRUE,TRUE,0.947823499405255,-0.806140917960926,2.71599453971449
62,1981,19.5,TRUE,TRUE,2.12308243445297,0.6833711613861,3.95006281704499
62,1982,71.5,TRUE,TRUE,3.16109949690634,1.94998555555295,4.32573123775259
65,1981,19.5,TRUE,TRUE,1.95000606000959,0.844439971521845,3.05557214849733
65,1982,71.5,TRUE,TRUE,1.95000606000959,0.844439971521845,3.05557214849733
66,1981,19.5,FALSE,FALSE,NA,NA,NA
66,1982,71.5,FALSE,FALSE,NA,NA,NA
68,1981,19.5,TRUE,TRUE,1.95000606000959,0.844439971521845,3.05557214849733
68,1982,71.5,FALSE,FALSE,NA,NA,NA
69,1981,19.5,TRUE,TRUE,1.95000606000959,0.844439971521845,3.05557214849733
69,1982,71.5,TRUE,TRUE,2.95001963662803,0.824811987694737,5.07521112110454
70,1981,19.5,TRUE,TRUE,2.14098041023287,1.14098808428613,3.1409727361796
70,1982,71.5,TRUE,TRUE,3.13883053032091,1.53234467471139,4.61635554297985
72,1981,19.5,TRUE,TRUE,2.66199210708094,1.95000534034633,3.37397887381556
72,1982,71.5,TRUE,TRUE,3.9500044206852,2.84443923838544,5.05556960298496
74,1981,19.5,TRUE,TRUE,1.17933762536951,0.208869796232476,2.1206885139901
74,1982,71.5,TRUE,TRUE,2.31788517318115,1.41568250433509,3.22008784202722
75,1981,19.5,TRUE,TRUE,1.75901962443865,0.759027279326148,2.75901196955115
75,1982,71.5,TRUE,TRUE,1.46964527000168,-0.702685816313404,3.89634583070321
77,1981,19.5,TRUE,TRUE,1.95000606000959,0.844439971521845,3.05557214849733
77,1982,71.5,TRUE,TRUE,3.95002464998267,1.94998010200207,5.95001248509819
79,1981,19.5,TRUE,TRUE,1.95000606000959,0.844439971521845,3.05557214849733
79,1982,71.5,TRUE,TRUE,2.94998753807822,1.4841036578776,4.41588114785657
81,1981,19.5,TRUE,TRUE,1.80284251400579,0.259688371168308,3.42529757914388
81,1982,71.5,TRUE,TRUE,2.05068268767839,-0.454464838154397,4.51124416936624
82,1981,19.5,TRUE,TRUE,2.66199210708094,1.95000534034633,3.37397887381556
82,1982,71.5,TRUE,TRUE,2.76218969146744,2.10559028263191,3.41878910030296
84,1981,19.5,TRUE,TRUE,2.48752887203504,1.67910207933685,3.29595566473322
84,1982,71.5,TRUE,TRUE,0.210264971443364,-2.69946147048037,2.174581986526
85,1981,19.5,TRUE,TRUE,2.48752887203504,1.67910207933685,3.29595566473322
