"target_year","h","hist_fcst","hist_lower","hist_upper"
1981,19.5,9.02949542877193,7.88206673829414,10.0753030200975
1982,71.5,8.32784483251003,6.34191348971024,10.0956101120815
1981,6.5,8.92026294030707,8.05821320146141,9.76829712666544
1982,58.5,8.28599346061141,6.40619152037501,10.0700728471761
1982,45.5,7.21438167216244,5.72540140614329,8.88704520915515
1983,97.5,6.8355817229549,5.14004779209495,8.93507483092649
1982,32.5,6.28472250160614,4.58522631911979,7.85622202827402
1983,84.5,6.13002082342777,4.297027955565,8.2467380445
1982,19.5,6.62849062381347,5.41632244029993,7.98961592073337
1983,71.5,6.24054511547242,4.32523271458271,8.21259730268354
1982,6.5,5.97989371571163,4.85450971408141,7.13904198031274
1983,58.5,5.14915595546846,3.97868861675628,7.03097008247645
1983,45.5,4.62367880583027,3.74949821754783,6.40865132306183
1984,97.5,5.18525484085775,3.61252994331403,7.74248865784405
1983,32.5,4.59903120468643,3.90591142635157,6.36097995568793
1984,84.5,4.99191594519085,3.90281635768322,7.24628390297794
1983,19.5,4.49648315950527,3.96463903177053,5.89155465552081
1984,71.5,5.05324297867791,3.93860226580052,7.17273120937086
1983,6.5,4.66819281403131,3.82229552104065,5.64980054661941
1984,58.5,4.74097918230742,3.88639234047472,6.63035308649033
1984,45.5,4.84667750582583,3.90988678773413,6.90137947881408
1985,97.5,5.30628957534103,3.89623542222057,7.80139222447585
1984,32.5,4.82183321671963,3.80634667696861,6.5412839899302
1985,84.5,5.46205265905792,3.847576929031,7.4038995489257
1984,19.5,3.82915527457952,3.20061663306781,5.24778467918978
1985,71.5,4.75328559086499,3.79919205168518,6.93407998065259
1984,6.5,3.4444786785552,2.95013910585594,4.53339906272446
1985,58.5,4.31713406561535,3.49183273346077,5.85658207370422
1985,45.5,1.04835926063136,-1.59668359269214,5.04937265175753
1986,97.5,3.55191224708503,1.60415487920705,5.95746495178423
1985,32.5,4.20691054061287,2.49782724155421,6.40510601871435
1986,84.5,4.76946845087734,2.75344533508754,6.74390442188033
1985,19.5,3.38203246670616,2.20635360757156,5.32864863387273
1986,71.5,4.05409926432249,2.35804120097422,6.00904524627219
1985,6.5,3.02657756208305,2.17216734120718,4.81573786254327
1986,58.5,3.73160230518547,2.29442168963481,5.97508334176256
1986,45.5,2.51688276103433,1.84845214830953,3.77135881485214
1987,97.5,3.14268106520069,1.88373636457342,5.73732417435144
1986,32.5,2.67876487362182,1.97614521243084,4.46048599106455
1987,84.5,3.70583408699562,2.21928996009199,5.87761744894713
