"vintage","target_year","h","forecast","rlz","e"
1981 Q3,1981,19.5,8.81116752127597,9.14804520455655,0.336877683280584
1981 Q3,1982,71.5,8.00518134715025,5.98625122766029,-2.01893011948996
1981 Q4,1981,6.5,9.1494405809276,9.14804520455655,-0.00139537637104858
1981 Q4,1982,58.5,7.8512396694215,5.98625122766029,-1.86498844176121
1982 Q1,1982,45.5,7.43939004385515,5.98625122766029,-1.45313881619486
1982 Q1,1983,97.5,7.21153846153846,4.20655945826968,-3.00497900326878
1982 Q2,1982,32.5,6.3863559111403,5.98625122766029,-0.400104683480007
1982 Q2,1983,84.5,6.25909752547307,4.20655945826968,-2.05253806720339
1982 Q3,1982,19.5,6.38337319939428,5.98625122766029,-0.397121971733994
1982 Q3,1983,71.5,5.91346153846154,4.20655945826968,-1.70690208019186
1982 Q4,1982,6.5,6.02535223189633,5.98625122766029,-0.0391010042360387
1982 Q4,1983,58.5,5.28219971056439,4.20655945826968,-1.07564025229471
1983 Q1,1983,45.5,4.57305648899461,4.20655945826968,-0.366497030724934
1983 Q1,1984,97.5,5.28380249192433,3.74409143625765,-1.53971105566668
1983 Q2,1983,32.5,4.70967865738923,4.20655945826968,-0.503119199119545
1983 Q2,1984,84.5,5.09451360073766,3.74409143625765,-1.35042216448001
1983 Q3,1983,19.5,4.50238773696865,4.20655945826968,-0.295828278698969
1983 Q3,1984,71.5,4.83348751156338,3.74409143625765,-1.08939607530573
1983 Q4,1983,6.5,4.26070783933459,4.20655945826968,-0.0541483810649064
1983 Q4,1984,58.5,4.84469170143719,3.74409143625765,-1.10060026517954
1984 Q1,1984,45.5,4.36574674445548,3.74409143625765,-0.621655308197832
1984 Q1,1985,97.5,5.11111111111111,3.35879349238242,-1.75231761872869
1984 Q2,1984,32.5,4.25109043277654,3.74409143625765,-0.506998996518894
1984 Q2,1985,84.5,5.45050055617353,3.35879349238242,-2.0917070637911
1984 Q3,1984,19.5,3.80772301591394,3.74409143625765,-0.0636315796562879
1984 Q3,1985,71.5,4.51901565995525,3.35879349238242,-1.16022216757283
1984 Q4,1984,6.5,3.80772301591394,3.74409143625765,-0.0636315796562879
1984 Q4,1985,58.5,4.27293064876958,3.35879349238242,-0.914137156387156
1985 Q2,1985,32.5,3.97826527505285,3.35879349238242,-0.619471782670424
1985 Q2,1986,84.5,4.08953938872148,2.64972864656886,-1.43981074215262
1985 Q3,1985,19.5,3.75446358483534,3.35879349238242,-0.395670092452919
1985 Q3,1986,71.5,3.96893874029335,2.64972864656886,-1.31921009372449
1985 Q4,1985,6.5,3.66494290874833,3.35879349238242,-0.306149416365909
1985 Q4,1986,58.5,3.45423143350604,2.64972864656886,-0.804502786937182
1986 Q2,1986,32.5,2.66798007686224,2.64972864656886,-0.0182514302933789
1986 Q2,1987,84.5,3.26939843068875,2.97520679273161,-0.294191637957148
1986 Q3,1986,19.5,2.5912588032649,2.64972864656886,0.0584698433039623
1986 Q3,1987,71.5,2.53496503496503,2.97520679273161,0.440241757766578
1986 Q4,1986,6.5,2.77061415082305,2.64972864656886,-0.120885504254183
1986 Q4,1987,58.5,2.96684118673648,2.97520679273161,0.00836560599512559
1987 Q1,1987,45.5,2.73864895182115,2.97520679273161,0.236557840910455
1987 Q1,1988,97.5,3.69897959183674,3.4267796269472,-0.27219996488954
1987 Q2,1987,32.5,3.10296228790716,2.97520679273161,-0.127755495175551
1987 Q2,1988,84.5,3.98305084745763,3.4267796269472,-0.556271220510427
1987 Q3,1987,19.5,3.28950324807346,2.97520679273161,-0.314296455341859
1987 Q3,1988,71.5,4.07470288624788,3.4267796269472,-0.647923259300673
1987 Q4,1987,6.5,2.93877488390344,2.97520679273161,0.0364319088281624
1987 Q4,1988,58.5,3.40715502555366,3.4267796269472,0.0196246013935397
1988 Q1,1988,45.5,3.28542155651044,3.4267796269472,0.141358070436759
1988 Q1,1989,97.5,3.95713107996702,4.17028312486728,0.213152044900262
1988 Q2,1988,32.5,3.05765375480409,3.4267796269472,0.369125872143111
1988 Q2,1989,84.5,4.08921933085502,4.17028312486728,0.0810637940122634
1988 Q3,1988,19.5,3.09810660284727,3.4267796269472,0.32867302409993
1988 Q3,1989,71.5,4.20445177246497,4.17028312486728,-0.0341686475976859
