"id","target_year","h","ok1","ok2","hist_fcst","hist_lower","hist_upper"
4,1981,19.5,TRUE,TRUE,8.82346413932245,7.94996903673765,9.7118838615201
4,1982,71.5,TRUE,TRUE,7.07448466666928,6.18709568756348,7.9499437275934
5,1981,19.5,TRUE,TRUE,8.95,8.39721863068633,9.50278136931367
5,1982,71.5,TRUE,TRUE,8.66199280119505,7.95000641815378,9.37397918423632
12,1981,19.5,TRUE,TRUE,8.94997910549867,8.16181353198141,9.73812290451964
12,1982,71.5,TRUE,TRUE,7.40444928813302,5.5682741814046,10.1307132386113
13,1981,19.5,TRUE,TRUE,10.3402002829846,6.58070222726783,12.803782129088
13,1982,71.5,TRUE,TRUE,8.15245001606262,5.24983663408049,11.8103121950082
16,1981,19.5,FALSE,FALSE,NA,NA,NA
16,1982,71.5,FALSE,FALSE,NA,NA,NA
18,1981,19.5,FALSE,FALSE,NA,NA,NA
18,1982,71.5,TRUE,TRUE,8.57770932331591,6.2926629644661,10.2095650695302
19,1981,19.5,TRUE,TRUE,8.75889995437951,8.01787808515804,9.51617982918247
19,1982,71.5,TRUE,TRUE,7.22901736629437,4.34258049827796,10.1524611704484
21,1981,19.5,FALSE,FALSE,NA,NA,NA
21,1982,71.5,FALSE,FALSE,NA,NA,NA
23,1981,19.5,FALSE,FALSE,NA,NA,NA
23,1982,71.5,FALSE,FALSE,NA,NA,NA
25,1981,19.5,TRUE,TRUE,9.57815503324912,8.29348593397571,10.7132759147032
25,1982,71.5,TRUE,TRUE,7.94931145984077,6.35012179763775,9.55433633291149
30,1981,19.5,TRUE,TRUE,8.84219567439363,7.75438059902555,9.9500439222063
30,1982,71.5,FALSE,FALSE,NA,NA,NA
31,1981,19.5,TRUE,TRUE,9.05780432560653,7.94995607779628,10.1456194009741
31,1982,71.5,TRUE,TRUE,7.56158475372016,6.22860985491546,9.82728808530401
33,1981,19.5,TRUE,TRUE,8.9499529780046,7.94995312699702,9.9499316034158
33,1982,71.5,TRUE,TRUE,8.71315238684199,7.03263420764692,10.5123464752133
34,1981,19.5,TRUE,TRUE,9.16109958631331,7.94998555555295,10.3257312377526
34,1982,71.5,TRUE,TRUE,10.1409804520357,9.14098814919686,11.1409727548746
35,1981,19.5,TRUE,TRUE,9.3763283409846,7.95007446607038,10.6752309782442
35,1982,71.5,TRUE,TRUE,8.94998753807822,7.4841036578776,10.4158811478566
40,1981,19.5,TRUE,TRUE,8.66199280119505,7.95000641815378,9.37397918423632
40,1982,71.5,TRUE,TRUE,8.48752875042786,7.6791018905075,9.29595561034822
43,1981,19.5,TRUE,TRUE,8.57285118471387,7.8115889768513,9.33411339257644
43,1982,71.5,TRUE,TRUE,8.3178851949369,7.41568253811701,9.2200878517568
54,1981,19.5,TRUE,TRUE,10.3601662376977,6.86719672307589,12.5081733662638
54,1982,71.5,TRUE,TRUE,9.76963975312601,6.58688505297506,12.2554426821845
58,1981,19.5,TRUE,TRUE,9.16570499951614,7.68884532764933,10.5710423679848
58,1982,71.5,TRUE,TRUE,8.71315238684199,7.03263420764692,10.5123464752133
62,1981,19.5,TRUE,TRUE,8.66199280119505,7.95000641815378,9.37397918423632
62,1982,71.5,TRUE,TRUE,7.07448466666928,6.18709568756348,7.9499437275934
65,1981,19.5,TRUE,TRUE,7.94999398860781,6.84442792699486,9.05556005022076
65,1982,71.5,TRUE,TRUE,5.95000654746336,4.87207925798594,7.02793383694078
66,1981,19.5,FALSE,FALSE,NA,NA,NA
66,1982,71.5,FALSE,FALSE,NA,NA,NA
68,1981,19.5,TRUE,TRUE,8.94998753807822,7.4841036578776,10.4158811478566
68,1982,71.5,TRUE,TRUE,7.9483934403152,5.95320816132143,9.95326900060539
